"单遮眼","hair over one eye one eye covered"
"瑟瑟","unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),soaked,[see-through:evening dress:0.3],girl on top,portrait,simple background,2girls,ahoge,white_hairblue_ey,cheek-to-cheek,own hands clasped,glowing eyes,backless outfit,miniskir s-2951698389,red eyeswrite hairsgirlsimleopen legs,from below,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},portrait,full body,perspective,drop shadow,indoors,highres,abdominal muscles,succubus,blonde hair,evil smileevil grin,spread toes,naughty face,bodystocking,High heeled gift shoes,thigh strap,medium_breasts"
"八重神子的白丝诱惑","masterpiece, best quality, temple, miko, long hair, pink hair, purple eyes, large breasts, puffy_nipples, white panties, whit thighhighs, bare_legs, leg_lift, (foot fov), wet clothes, water, tail"
"百合","first-person view,snow,messy_hair,white_hair,red_eyes,breath,princess carry,road,yuri,eye contact,barefoot,embarrassed,blush,beautiful detailed eyes,turtleneck sweater,pleated dress,white stocking,scarf,small_breasts,tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes,glowing light,beautiful detailed sky,masterpiece,cinematiclighting,depthoffield,beautiful detailed water,ocean,chinese style architecture,no humans,detailed background,alpine"
"...","a girl in a pink bikini posing for a picture in a city at night with a neon light behind her, by Masaaki Sasamoto,a girl with pink hair sitting on a ledge in a city at night with a cityscape in the background, by TaiyōMatsumoto,blush,short_hair,blunt_bangs,white_hair/pink_eyes,two-tone hair,gradient hair,saliva,tongue,by Toei Animations,overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,a girl in a pink bikini posing for a picture in a city at night with a neon light behind her, by Masaaki Sasamoto,a girl with pink hair sitting on a ledge in a city at night with a cityscape in the background, by TaiyōMatsumoto,blush,short_hair,blunt_bangs,white_hair/pink_eyes,two-tone hair,gradient hair,saliva,tongue,by Toei Animations,overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration"
"一个少年,黑短发,白皮肤,黑色衬衫,绿褐色眼睛","unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),soaked,[see-through:evening dress:0.3],girl on top,Bare thigh,huge_breasts,cleavage,no underwear,on stomach,space background,Bare thigh,blush,heart-shaped pupils,best quality,highly detailed,masterpiece,ultra-detailed,{photorealistic}"
"黑色连衣裙+白色打底T恤搭配(请勿去掉tag括号)","(((black sundress with round neck,white T-shirt bottom)))"
"少女","unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(midriff),((lace trim)),soaked,[see-through:evening dress:0.3],girl on top"
"明日方舟  蓝毒（大概）","(((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((frills)), (1 girl), (solo),mature female, medium hair, pink hair,hair down, straight hair,  blue eyes, small breast, side pigtail, swept bangs, blue hooded jacket, white shirt, hood up, black suspender shorts"
"明日方舟  迷迭香（大概）","((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((frills)), (1 girl), (solo),masterpiece, best quality, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, day, artbook,loli, loli,long hair, silver hair, hair down,white colored eyelashes, longeyelashes,expressionless, white colored eyelashes,green pupil,beautiful detailed eyes, looking at viewer, cat girl,animal ear fluff"
"奇遇","Cherry blossoms,street,solo,young girl,Perfect female body,ahoge,long_hair,silver_hair/cyan_eyes,looking at viewer,standing,arms behind back,slim legs,blush,white stocking,sneakers,small_breasts,suspender skirt,open mouth"
"卡瓦12","profile,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,coffee house,anime screencap,twintails,black_hair/blue_eyes,kemomimi,sitting,adjusting hair,light smile,summer long skirt,mary_janes,hair bow,small_breasts"
"Stylized Scenes","Stylized Scenes,building,cartoon,grass,water,tree.nature,Tenebrism,game cg,masterpiece,cinematic angle,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},loli girl moon night light lake glass,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},lake,nature,torii,east asian architecture,field,ocean,mountain"
"和风妹抖装×芙兰二小姐(东方project人物)","blonde hair,pink headset,pink cat ears,long hair,side ponytail,ahoge,hairclip,red eyes,cherry blossoms,little girl,child,purple ribbon,pink and blue kimono,pink kimono,white stockings,machine,leg ribbon,leg ribbon,pink sleeves,furisode,{{flandre scarlet}},leaning to the side, yellow eyes, maid,beautiful detailed water,beautiful detailed sky,no_panties,no bra,no clothes"
"白头发高马尾斜刘海白色眼睛穿制服","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, nsfw, extra limbs"
"sp兔耳正太(latest步数35相关13)","(best quality),(highly detailed),(masterpiece),illustration,off shoulder,male_focus,full body,(solo),spread_legs,sitting on pillow,1boy,(shota:1.4),otoko_no_ko,looking_at_viewer,leg hold,nsfw,short hair,black hair,dark skin,blush,feet,erection,precum,((small breasts)),nipples,(nipple chain),barefoot,(detailed penis:1.3),testicles,(((no pussy))),Bashful,sweat,areolae,bunny_ears,black collar, leash,white elbow_gloves,white leg belt,anklet,(anime face),indoors,((extremely detailed body)),((an extremely delicate and beautiful)),pillows,books,Table lamp"
"开心的loli","((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((frills)), (1 girl), dynamic angle,  beautiful detailed sky, on beautiful detailed water, beautiful detailed eyes, overexposure, (fist), The best quality, Shy expression,Multiple perspectives,flesh exposed, naked, pornographic, high texture, no soft light, chest, areola, nipple, nude, no clothes, dew point, lovely, adult, female human body, color map, loli, sex, genital, charming legs, buttocks, vulva,ruddy,Jade foot"
"沃权","cat ears,cat girl, white hair, blue eyes, pants under skirt, medium hair,presenting panties,skirt_lift,spread legs,ribbon-trimmed_legwear, open shirt,breasts,lace-trimmed bra,socks, ponytail"
"怒九","white hair,heterochromia,bule eye,yellow eye,flat_chest,casual wear,clear face,expressionless,low ponytail"
"玛琪玛","makima_\(chainsaw_man\), 1girl, orange eyes ,necktie, ringed_eyes,braided_ponytail,  shirt,short braid, black necktie, solo, suit, shirt_tucked_in pants, white_shirt, high-waist_pants, breasts, bangs, pantyshot ,collar,black pants,orangepink hair"
"御姐","realistic,white hair, red eyes,loli,loathe, skirt lift, cat girl,beautiful detailed water,beautiful detailed sky,(no_panties),no bra,skirt lift,cum,cum in pussy,cum on pussy,cum on body,cum on breasts,cum in mouth,cum on hair,cum in ass,cum on ass,cum on tongue,cum on tongue,cum on feet,cum on legs,cum on armpits,cum in navel,,realistic,white hair, red eyes,loli,loathe, skirt lift, cat girl,beautiful detailed water,beautiful detailed sky,(no_panties),no bra,skirt lift,cum,cum in pussy,cum on pussy,cum on body,cum on breasts,cum in mouth,cum on hair,cum in ass,cum on ass,cum on tongue,cum on tongue,cum on feet,cum on legs,cum on armpits,cum in navel,,realistic,white hair, red eyes,loli,loathe, skirt lift, cat girl,beautiful detailed water,beautiful detailed sky,(no_panties),no bra,skirt lift,cum,cum in pussy,cum on pussy,cum on body,cum on breasts,cum in mouth,cum on hair,cum in ass,cum on ass,cum on tongue,cum on tongue,cum on feet,cum on legs,cum on armpits,cum in navel,,tentacle sex,forced orgasm,no p"
"白红发少女","Taggradient hair,multicolored hair,colored tips,short ponytail,red moon,straight-on,portrait,mountain,red_hair/red_eyes,looking afar,looking up,smile,wariza,breast hold,annoyed,soaked,miniskirt,no shoe,large_breasts,upturned nipples"
"龙女","Pale skin,heterochromia,Dragon tail,Dragon wings,High ponytail,hand on own chest,painted in the style of Cynical realism,octane render,game cg,artbook,huge_filesize ,upper body"
"..","overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,camel_toe,full_body,stockings,no panties"
"涩涩jk","clothes_lift, skirt_lift, lifted_by_self, breasts, skirt, 1girl, mouth_hold, condom, underwear, thighhighs, panties, condom_in_mouth, skirt_hold, long_hair, cleavage, large_breasts, purple_eyes, bow, looking_at_viewer, solo, condom_wrapper, bangs, mole, blush, shirt, purple_panties, wet, black_hair, black_legwear"
"不情愿的女上司","masterpiece, best quality,high detail,{{{full body}}},{{{skirt suit}}},unzipped,Purple bra,cinematic angle ,cityscape,mature female,long_hair,standing,seductive smile ,fingerless gloves,belt,black lace choke,hairclip,medium_breasts,white skirt,white shirt, William Blake, NHK Animation,garter straps garter belt,collar,semi-rimless eyewear,large_breasts,upturned nipples,areola_slip,puffy areolae,vibrator,pubic tattoo,nsfw,underboob,photorealistic,from below,frown,clenched teeth,tears,embarrassed,blush,open your legs wide,squatting,skirt_lift,cum on face,cum on body,cum on hair,wet clothes,soaked,torn clothes"
"building,rain,neon lights","miniskirt,thighhighs,sleeveless,collared shirt,orgasm,jk face leg,ponytail,extremely detailed CG unity 8k wallpaper,upturned nipples,medium_breasts,miniskirt,school_uniform,empty eyes,heart-shaped pupils,fucked silly,legs apart,lying on back,white_hair/blue_ey,messy_hair,loli,artbook,cum on face,cum on body,cum on hair,cum on feet,wet clothes,indoors,on bed,full body,plantar flexion,hidden hands,foot focus,2 feet,2 legs,2 arms,1 girl"
"building,rain,neon lights","building,rain,neon lights,cumulonimbus,moon,cropped shoulders  ,crotchless panties,perspective,cyberpunk city,Perfect female body,multiple girls"
"什","girl, bishoujo, hair down, white hair, blue eyes, long hair, gradient eyes, medium breasts, expressionless, pink pants,guitar,pink coat,clear face,looking down,staring"
"萝莉","top-down bottom-up,fucked silly,half-closed eyes,miniskirt,white stocking,rabbit tail,thigh strap,nurse cap,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm,cinematiclighting"
"被囚禁的白毛萝莉","first-person view,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},dungeon background,basement,game cg,infant,messy_hair,Silver hair,red_eyes,heavy breathing,kneeling&setting on floot,fingersmile,skindentation,clear face,expressionless,tears,empty eyes,less clothes,no_panties,white_thighhighs,shackles,handcuffs,tail insertion,collar,flat_chest,upturned nipples,puffy areolae"
"战损猫娘","1girl,(((solo))),golden eyes,medium_breasts,light_yellow_hair,gradient hair,((teenage girl)),cat girl,cat_ears,(scared),((pain)),(sad),virgin,full body,windows,((1 tail)),(white_thighhighs),(torn thighhighs),straddling,sitting,open feet wide,knees together,(torn shirt),(torn plaid skirt),blood on face,blood on body,mud on body,(((scorch))),((bruises)),(wound),(girl in a prison),dungeon background,(dark light),instruments of torture,dust"
"奕夏","male,green_hair,white_eyes,black_windbreaker,pants,boots,cane"
"小黄","masterpiece, best quality,extremely detailed CG unity 8k wallpaper, (1girl), ((loli)),full body,long hair,orange eyes, looking at viewer,black hair,(((white streaked hair))),small breasts,fang,light smile,standing,black boots,(bikini jeans),((white t-shirt)),Negative prompt: lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet,ugly,vore,duplicate,mutilated,morbid,extra fingers,fused fingers,too many fingers,long neck,mutation,poorly drawn face,poorly drawn hands,mutated hands,deformed,blurry,bad anatomy,bad proportions,disfigured,cloned face,extra limbs,malformed limbs,gross proportions,missing arms,missing legs,extra arms,extra legs,red streaked hair,blue streaked hair,orange streaked hair,Steps: 15, Sampler: Euler a, CFG scale: 8, Seed: 53923503, Size: 512x896, Model hash: 925997e9, Model: pruned, Clip skip: 2, ENSD: 31337"
"漏漏漏","(((genshin impact,lumine, the erotic expression,the look of a maiden,Cat ears,1girl,simple background,nsfw,[pants),messy,cum onbodyl),wet,mist,stream,cryingmedium breast,short curlymessy hair, (torn. clothes)l,nude,whiteclothes,streaming  tear,upperbody,The appearance of a child,))),(High school students,brown hair,fleece,lovely,girl,masterpiece, best quality,),white hair, breasts, best quality, beautiful detailed eyes, 1girl, full body, wet clothes, crying, church,praying, crowd, exposed ,masterpiece, best quality, sky, on the ocean, in the ocean, comic, ojousama, ,ahoge,blue_hair/blue_eyes,standing,hand on own face,space,light smile,upper body,from side"
